chapter,volume,name,page,date
1,1.0,Romance Dawn,53,1997-07-19
2,1.0,"They Call Him ""Straw Hat Luffy""",23,1997-07-28
3,1.0,Enter Zolo: Pirate Hunter,21,1997-08-04
4,1.0,The Great Captain Morgan,19,1997-08-11
5,1.0,The King of the Pirates and the Master Swordsman,19,1997-08-25
6,1.0,Number One,23,1997-09-01
7,1.0,Friends,20,1997-09-08
8,1.0,Nami,19,1997-09-15
9,2.0,Femme Fatale,21,1997-09-22
10,2.0,Incident at the Tavern,23,1997-09-29
11,2.0,Flight,19,1997-10-06
12,2.0,Dog,21,1997-10-13
13,2.0,Treasure,19,1997-10-20
14,2.0,Reckless,19,1997-10-27
15,2.0,Gong,19,1997-11-03
16,2.0,Versus Buggy's Crew,17,1997-11-10
17,2.0,"High Level, Low Level",20,1997-11-17
18,3.0,The Pirate Buggy the Clown,19,1997-11-24
19,3.0,Devil Fruit,19,1997-12-01
20,3.0,The Way of the Thief,19,1997-12-08
21,3.0,Townies,19,1997-12-22
22,3.0,Strange Creatures,29,1998-01-05
23,3.0,The Dread Captain Usopp,19,1998-01-12
24,3.0,The Lie Rejecter,19,1998-01-19
25,3.0,Lies,19,1998-01-26
26,3.0,Captain Kuro's Plan,19,1998-02-02
27,4.0,True Lies,21,1998-02-09
28,4.0,Crescent Moon,19,1998-02-16
29,4.0,Uphill Battle,21,1998-02-23
30,4.0,Backfire,19,1998-03-02
31,4.0,Truth,19,1998-03-09
32,4.0,Cruel Fortune,19,1998-03-16
33,4.0,The Creeping Cat,19,1998-03-23
34,4.0,A Humble Servant,19,1998-03-30
35,4.0,The Steep Slope,19,1998-04-06
36,5.0,After Them!!,21,1998-04-13
37,5.0,"""Captain Kuro, Of The Thousand Plans""",19,1998-04-20
38,5.0,Pirate Crew,20,1998-04-27
39,5.0,For Whom the Bell Tolls,19,1998-05-11
40,5.0,Usopp's Pirate Crew,19,1998-05-18
41,5.0,To the Sea,18,1998-05-25
42,5.0,Yosaku and Johnny,19,1998-06-01
43,5.0,Sanji,19,1998-06-08
44,5.0,Three Tough Cooks,20,1998-06-15
45,6.0,Before the Storm,18,1998-06-22
46,6.0,An Uninvited Guest,19,1998-06-29
47,6.0,The Don's Offer,19,1998-07-06
48,6.0,Steer Clear,19,1998-07-13
49,6.0,Storm,18,1998-07-18
50,6.0,A Parting of Ways,19,1998-07-27
51,6.0,Zolo Overboard,19,1998-08-03
52,6.0,The Oath,20,1998-08-10
53,6.0,Mackerel Head,19,1998-08-24
54,7.0,Pearl,19,1998-08-31
55,7.0,Jungle Blood,19,1998-09-07
56,7.0,I Refuse,20,1998-09-14
57,7.0,If You Have a Dream,19,1998-09-21
58,7.0,Crap-Geezer,19,1998-09-28
59,7.0,Sanji's Debt,19,1998-10-05
60,7.0,Resolution,19,1998-10-12
61,7.0,The Demon,20,1998-10-19
62,7.0,MH5,19,1998-10-26
63,8.0,I Won't Die,19,1998-11-02
64,8.0,The Mighty Battle Spear,17,1998-11-09
65,8.0,Prepared,19,1998-11-16
66,8.0,The Chewed-up Spear,19,1998-11-21
67,8.0,The Soup,19,1998-11-30
68,8.0,The Fourth Person,19,1998-12-07
69,8.0,Arlong Park,20,1998-12-19
70,8.0,The Great Adventure of Usopp the Man,21,1999-01-04
71,8.0,Lords of All Creation,19,1999-01-11
72,9.0,Proper Living,19,1999-01-18
73,9.0,Monsters of the Grand Line,19,1999-01-25
74,9.0,Business,19,1999-02-01
75,9.0,Of Maps and Fish-Men,19,1999-02-08
76,9.0,Sleep,19,1999-02-15
77,9.0,The First Step Toward a Dream,19,1999-02-22
78,9.0,Bell-mère,19,1999-03-01
79,9.0,To Live,19,1999-03-08
80,9.0,A Thief is a Thief,19,1999-03-15
81,9.0,Tears,19,1999-03-20
82,10.0,"OK, Let's STAND UP!",19,1999-03-29
83,10.0,Luffy in Black,19,1999-04-05
84,10.0,Zombie,19,1999-04-12
85,10.0,Three Swords vs. Six,19,1999-04-19
86,10.0,Heroism vs. Fish-Man Cruelty,20,1999-04-26
87,10.0,It's All Over!!,19,1999-05-10
88,10.0,Die!!!,19,1999-05-17
89,10.0,Trade-Off,19,1999-05-24
90,10.0,What Can You Do?,19,1999-05-31
91,11.0,DARTS,19,1999-06-07
92,11.0,Happiness,19,1999-06-14
93,11.0,Going Down,19,1999-06-21
94,11.0,The Other Villain,17,1999-06-28
95,11.0,"Spin, Pinwheel",19,1999-07-05
96,11.0,The Meanest Man in the East,19,1999-07-12
97,11.0,Kitetsu III,19,1999-07-19
98,11.0,Dark Clouds,19,1999-07-26
99,11.0,Luffy Died,19,1999-08-02
100,12.0,The Legend Begins,24,1999-08-09
101,12.0,Reverse Mountain,19,1999-08-23
102,12.0,"Now, The Grand Line",19,1999-08-30
103,12.0,The Whale,20,1999-09-06
104,12.0,Cape Promise,19,1999-09-13
105,12.0,Log Pose,19,1999-09-20
106,12.0,The Town of Welcome,19,1999-09-27
107,12.0,Moonlight and Tombstones,18,1999-10-04
108,12.0,100 Bounty Hunters,19,1999-10-09
109,13.0,A Question of Duty,19,1999-10-18
110,13.0,The Night Isn't Over,19,1999-10-25
111,13.0,The Secret Criminal Organization,18,1999-11-01
112,13.0,Luffy vs. Zolo,19,1999-11-08
113,13.0,It's All Right!!!,19,1999-11-15
114,13.0,The Course,19,1999-11-22
115,13.0,Little Garden of Adventure,19,1999-12-06
116,13.0,Big,19,1999-12-13
117,13.0,Dorry and Broggy,19,1999-12-20
118,14.0,Someone's Out There,19,2000-01-03
119,14.0,Deadly Improvisation,19,2000-01-17
120,14.0,The Red Ogre Weeps,19,2000-01-24
121,14.0,I Knew,19,2000-01-31
122,14.0,A Dead Body is Useless,19,2000-02-07
123,14.0,Luffy vs. Mr. 3,19,2000-02-14
124,14.0,The Tea is Good,19,2000-02-21
125,14.0,Candle Champion,19,2000-02-28
126,14.0,Instinct,19,2000-03-06
127,15.0,Snail-o-Phone,19,2000-03-13
128,15.0,Pirate Pride,20,2000-03-18
129,15.0,Straight Ahead!!!,21,2000-03-27
130,15.0,Maximum Speed,19,2000-04-03
131,15.0,Wapol of Tin,19,2000-04-10
132,15.0,See?,19,2000-04-17
133,15.0,Adventure in a Nameless Country,20,2000-04-24
134,15.0,Dr. Kureha,19,2000-05-08
135,15.0,Lapins,19,2000-05-15
136,15.0,A Man Named Dalton,19,2000-05-22
137,16.0,Avalanche,20,2000-05-29
138,16.0,The Summit,19,2000-06-05
139,16.0,Enter Tony Tony Chopper,19,2000-06-12
140,16.0,The Castle of Snow,19,2000-06-19
141,16.0,Quack Doctor,19,2000-06-26
142,16.0,Skull and Cherry Blossoms,19,2000-07-03
143,16.0,Clumsy,19,2000-07-10
144,16.0,Snowy Tale,19,2000-07-17
145,16.0,Carrying on His Will,19,2000-07-24
146,17.0,Battle to Defend the Kingdom,19,2000-07-31
147,17.0,Frauds,19,2000-08-07
148,17.0,Unbreakable,19,2000-08-21
149,17.0,RUMBLE!!,19,2000-08-28
150,17.0,Royal Drum Crown 7-Shot Tin Tyrant Cannon,19,2000-09-04
151,17.0,The Skies of Drum,19,2000-09-11
152,17.0,Full Moon,19,2000-09-18
153,17.0,Hiriluk's Cherry Blossoms,19,2000-09-25
154,17.0,To Alabasta,19,2000-10-02
155,17.0,"""Pirate"" Sir Crocodile",19,2000-10-07
156,18.0,Oh Come My Way Days,19,2000-10-16
157,18.0,Ace Arrives,19,2000-10-23
158,18.0,Landing in Alabasta,19,2000-10-30
159,18.0,Come On,19,2000-11-06
160,18.0,Spiders Café at Eight O'Clock,19,2000-11-13
161,18.0,The Green City Erumalu,19,2000-11-20
162,18.0,Adventure in the Kingdom of Sand,19,2000-11-27
163,18.0,"Yuba, the Town of Rebels",19,2000-12-04
164,18.0,I Love My Country,19,2000-12-11
165,18.0,Operation Utopia,18,2000-12-18
166,18.0,Luffy vs. Vivi,19,2001-01-04
167,19.0,Battle Front,19,2001-01-15
168,19.0,"Rainbase, The Town of Dreams",19,2001-01-22
169,19.0,The Kingdom's Strongest Warrior,19,2001-01-29
170,19.0,Beginning,19,2001-02-05
171,19.0,"Koza, Leader of the Rebels",19,2001-02-10
172,19.0,Rebellion,19,2001-02-26
173,19.0,Bananagator,19,2001-03-05
174,19.0,Mr. Prince,19,2001-03-12
175,19.0,Release,19,2001-03-19
176,19.0,Rush,19,2001-03-26
177,20.0,30 Million vs. 81 Million,19,2001-04-02
178,20.0,Grand Line Level,19,2001-04-09
179,20.0,Showdown at Alubarna,19,2001-04-16
180,20.0,Alabasta Animal Land,19,2001-04-23
181,20.0,Super Sonic Duck Quiz,19,2001-05-07
182,20.0,Roar,19,2001-05-14
183,20.0,Squadron Leader Karoo,19,2001-05-21
184,20.0,Moletown Block Four,19,2001-05-28
185,20.0,Oh... Is That So?,19,2001-06-04
186,20.0,4,19,2001-06-11
187,21.0,Stalemate,19,2001-06-18
188,21.0,Oh Come My Way Karate,19,2001-06-25
189,21.0,2,19,2001-07-02
190,21.0,Climate Baton,19,2001-07-09
191,21.0,She Who Controls The Weather,19,2001-07-16
192,21.0,Tornado Warning,19,2001-07-23
193,21.0,Utopia,19,2001-07-30
194,21.0,Cutting Steel,18,2001-08-06
195,21.0,Mr. Bushidō,21,2001-08-20
196,22.0,1,19,2001-08-27
197,22.0,The Leaders,19,2001-09-03
198,22.0,4:15 PM,19,2001-09-10
199,22.0,Hope!!,19,2001-09-17
200,22.0,Water Luffy,19,2001-09-22
201,22.0,Nico Robin,19,2001-10-01
202,22.0,The Royal Mausoleum,19,2001-10-06
203,22.0,Crocodile-ish,19,2001-10-15
204,22.0,RED,19,2001-10-22
205,22.0,The Sand-Sand Band's Secret Fort,19,2001-10-29
206,23.0,Ignition,19,2001-11-05
207,23.0,Nightmare,19,2001-11-12
208,23.0,Guardian Spirit,19,2001-11-19
209,23.0,I Will Defeat You,21,2001-11-26
210,23.0,0,17,2001-12-03
211,23.0,King,19,2001-12-10
212,23.0,Some Justice,19,2001-12-17
213,23.0,V.I.P.,23,2001-12-28
214,23.0,Strategy to Escape the Sand Kingdom,19,2002-01-07
215,23.0,Last Waltz,19,2002-01-21
216,23.0,Vivi's Adventure,19,2002-01-28
217,24.0,Stowaway,19,2002-02-04
218,24.0,Why the Log Pose is Dome-Shaped,19,2002-02-18
219,24.0,Masira the Salvage King,19,2002-02-25
220,24.0,A Walk on the Seafloor,19,2002-03-04
221,24.0,Monsters,19,2002-03-11
222,24.0,The Giant Novice,19,2002-03-18
223,24.0,I Promise Never to Fight in This Town,19,2002-03-25
224,24.0,Do Not Dream,19,2002-04-01
225,24.0,People's Dreams,19,2002-04-08
226,24.0,"Shoujou, the Salvage King of the Seafloor",19,2002-04-15
227,25.0,Noland the Liar,19,2002-04-22
228,25.0,"Mont Blanc Cricket, the Last Boss of the Monkey Mountain Allied Force",19,2002-04-27
229,25.0,Let's Eat,19,2002-05-13
230,25.0,Pursue the South Bird!,19,2002-05-20
231,25.0,Bellamy the Hyena,19,2002-05-27
232,25.0,The 100 Million Berry Man,19,2002-06-03
233,25.0,The World's Greatest Power,19,2002-06-10
234,25.0,Please Remember,19,2002-06-17
235,25.0,The Knock Up Stream,19,2002-06-24
236,25.0,The Ship Sails to the Sky,19,2002-07-01
237,26.0,High in the Sky,19,2002-07-08
238,26.0,Heaven's Gate,17,2002-07-15
239,26.0,Angel Beach,17,2002-07-22
240,26.0,Dial Power,17,2002-07-29
241,26.0,Heaven's Judgment,19,2002-08-05
242,26.0,Class-2 Criminals,17,2002-08-12
243,26.0,Trial,17,2002-08-26
244,26.0,S.O.S.,19,2002-09-02
245,26.0,Adventure on Kami's Island,17,2002-09-09
246,26.0,"Satori, Vassal of the Forest of No Return",19,2002-09-14
247,27.0,Ball Challenge,19,2002-09-22
248,27.0,Former Kami vs. Vassal,19,2002-10-07
249,27.0,The Village Hidden in the Cloud,19,2002-10-12
250,27.0,Ball Dragon,19,2002-10-21
251,27.0,Overture,19,2002-10-28
252,27.0,Junction,19,2002-11-02
253,27.0,Varse,19,2002-11-11
254,27.0,Aubade,19,2002-11-18
255,27.0,The Anaconda and the Search Team,19,2002-11-25
256,28.0,Wyper the Berserker,19,2002-12-02
257,28.0,Dial Battle,19,2002-12-09
258,28.0,The Many Souths,19,2002-12-16
259,28.0,Pirate Zoro vs. Warrior Braham,19,2002-12-30
260,28.0,Pirate Luffy vs. Berserker Wyper,19,2003-01-06
261,28.0,Warrior Genbo vs. Heavenly Warriors Commander Yama,19,2003-01-20
262,28.0,Pirate Chopper vs. Vassal Gedatsu,19,2003-01-27
263,28.0,Pirate Nami and the Weird Knight vs. Heavenly Warriors Subcommanders Hotori and Kotori,19,2003-02-03
264,28.0,Warrior Kamakiri vs. Kami Eneru,19,2003-02-10
265,29.0,Pirate Robin vs. Heavenly Forces Commander Yama,19,2003-02-17
266,29.0,Pirate Chopper vs. Vassal Ohm,19,2003-02-24
267,29.0,March,17,2003-03-03
268,29.0,Suite,18,2003-03-10
269,29.0,Concerto,19,2003-03-17
270,29.0,Serenade,19,2003-03-31
271,29.0,Pirate Zolo vs. Vassal Ohm,19,2003-04-07
272,29.0,Play,19,2003-04-14
273,29.0,Quintet,19,2003-04-21
274,29.0,Oratorio,20,2003-04-28
275,29.0,Divina Comedia,19,2003-05-12
276,30.0,Shandian Rhythm,19,2003-05-19
277,30.0,Maxim,19,2003-05-26
278,30.0,Conis,19,2003-06-02
279,30.0,Pirate Luffy vs. Kami Eneru,18,2003-06-09
280,30.0,Floating,19,2003-06-16
281,30.0,Deathpiea,19,2003-06-23
