rank,tier,score,id,name,arc_main_count,sig_appearance,sig_cover,sig_arc_main,sig_saga_breadth,sig_bio_completeness,sig_bounty,sig_devil_fruit,sig_affiliation,sig_conqueror_haki
1,S,0.9959,Monkey_D._Luffy,Monkey D. Luffy,33,1.0000,1.0000,1.0000,1.0000,1.0000,0.9725,1.0000,1.0000,1.0000
2,S,0.8868,Roronoa_Zoro,Roronoa Zoro,27,0.9651,0.7654,0.9449,1.0000,1.0000,0.9282,0.0000,0.7500,1.0000
3,S,0.8313,Sanji,Sanji,23,0.9614,0.7468,0.9012,1.0000,1.0000,0.9249,0.0000,0.7500,0.0000
4,S,0.8267,Nami,Nami,25,0.9713,0.7334,0.9239,1.0000,1.0000,0.8787,0.0000,0.7500,0.0000
5,S,0.8244,Usopp,Usopp,24,0.9589,0.7264,0.9128,1.0000,1.0000,0.8926,0.0000,0.7500,0.0000
6,S,0.8198,Nico_Robin,Nico Robin,17,0.9258,0.6502,0.8196,0.9091,1.0000,0.9203,1.0000,0.7500,0.0000
7,S,0.7478,Buggy,Buggy,5,0.6837,0.4156,0.5081,0.8182,1.0000,0.9752,1.0000,1.0000,0.0000
8,S,0.7452,Edward_Newgate,Edward Newgate,1,0.6205,0.3827,0.1966,0.7273,0.8571,0.9956,1.0000,1.0000,1.0000
9,S,0.7424,Tony_Tony_Chopper,Tony Tony Chopper,18,0.9472,0.7334,0.8350,0.9091,1.0000,0.3079,1.0000,0.7500,0.0000
10,S,0.7376,Charlotte_Linlin,Charlotte Linlin,1,0.7147,0.4156,0.1966,0.5455,1.0000,0.9894,1.0000,1.0000,1.0000
11,S,0.7320,Brook,Brook,10,0.8676,0.5922,0.6800,0.6364,1.0000,0.8807,1.0000,0.7500,0.0000
12,S,0.7314,Franky,Franky,11,0.8919,0.6289,0.7047,0.7273,1.0000,0.8820,0.0000,0.7500,0.0000
13,S,0.7256,Shanks,Shanks,0,0.6102,0.4156,0.0000,0.8182,1.0000,0.9858,0.0000,1.0000,1.0000
14,S,0.7209,Portgas_D._Ace,Portgas D. Ace,3,0.6849,0.4156,0.3931,0.9091,0.8571,0.8969,1.0000,0.5000,1.0000
15,S,0.7033,Marshall_D._Teach,Marshall D. Teach,0,0.6015,0.4156,0.0000,0.8182,1.0000,0.9852,1.0000,1.0000,0.0000
16,A,0.6995,Kaidou,Kaidou,0,0.6616,0.4441,0.0000,0.4545,1.0000,0.9916,1.0000,1.0000,1.0000
