id,jname,rname,ename,first,affiliation,occupation,origin,epithet,status,age,birth,height,blood type,bounty,jva,Odex eva,4kids eva,Funi eva,liveaction,residence,alias,age2,dfname,dfename,dfmeaning,dftype,birthname,dfname2,dfename2,dfmeaning2,dftype2,size,weight,doriki,cp9key,zombie number,gladiator number
Shanks,['シャンクス'],['Shankusu'],['Shanks'],"['Chapter 1', 'Episode 4']","['Red Hair Pirates', 'Four Emperors', 'Roger Pirates (former)']","['Chief', 'Emperor', 'Apprentice (former)']",['West Blue'],"['""Red-Haired Shanks""']",['Alive'],"['27 (debut)', '37 (pre-timeskip)', '39 (after timeskip)']",['March 9th'],"['199 cm (6\'6"") (age 39)', '132 cm (4\'4"") (age 13)']",['XF'],"['4048900000', '1040000000']","['Shūichi Ikeda', 'Nobunaga Shimazaki (young', 'Episode 959-Present)']",['Christian J. Lee'],['Tom Souhrada'],"['Brandon Potter', 'Aaron Dismuke (young', 'Episode 959-Present)']","['Peter Gadiot', 'Matt Herrington (young)']",,,,,,,,,,,,,,,,,,
Benn_Beckman,['ベン・ベックマン'],['Ben Bekkuman'],"['Benn Beckman', 'Ben Beckman (VIZ, formerly)']","['Chapter 1', 'Episode 4']",['Red Hair Pirates'],"['Pirate', 'First Mate']",['North Blue'],,['Alive'],"['38 (debut)', '48 (pre-timeskip)', '50 (after timeskip)']",['November 9th'],"['206 cm (6\'9"")']",['X'],['Unknown'],"['Kazuyuki Sogabe (Episode 4)', 'Kenichi Ono (Grand Battle! Rush!)', 'Aruno Tahara (Episode 151+)']",['Joseph Murray'],['Andrew Paull'],['Sean Hennigan'],['Laudo Liebenberg'],,,,,,,,,,,,,,,,,,
Lucky_Roux,['ラッキー・ルウ'],['Rakkī Rū'],"['Lucky Roux', 'Lucky Roo (WT100)']","['Chapter 1', 'Episode 4']",['Red Hair Pirates'],"['Pirate', 'Senior Officer', 'Combatant', 'Cook']",['South Blue'],,['Alive'],"['23 (debut)', '33 (pre-timeskip)', '35 (after timeskip)']",['July 6th'],"['241 cm (7\'11"")']",['F'],['Unknown'],['Jin Domon'],['Jamie Meldrum'],['David Brimmer'],['John Burgmeier'],['Ntlanhla Morgan Kutu'],,,,,,,,,,,,,,,,,,
Yasopp,['ヤソップ'],['Yasoppu'],['Yasopp'],"['Chapter 1', 'Episode 4']",['Red Hair Pirates'],"['Pirate', 'Senior Officer', 'Sniper']",['East Blue (Gecko Islands)'],"['""Chaser""']",['Alive'],"['35 (debut)', '45 (pre-timeskip)', '47 (after timeskip)']",['August 2nd'],"['183 cm (6\'0"")']",['S'],['Unknown'],['Michitaka Kobayashi'],,['Jason Griffith'],"['Scott Freeman (2007-2014)', 'Jeff Johnson (2019+)']",['Stevel Marc'],['Syrup Village (former)'],,,,,,,,,,,,,,,,,
Limejuice,['ライムジュース'],['Raimujūsu'],['Lime Juice'],"['Chapter 1', 'Episode 4']",['Red Hair Pirates'],"['Pirate', 'Senior Officer']",,,['Alive'],,,,,,['Kenichi Ono'],,,['Jessie James Grelle'],,,,,,,,,,,,,,,,,,,
Hongo,['ホンゴウ'],['Hongō'],['Hongo'],"['Chapter 1', 'Episode 489']",['Red Hair Pirates'],"['Pirate', 'Senior Officer', 'Doctor']",,,['Alive'],,,,,,['Hikaru Midorikawa'],,,['Ricco Fajardo'],,,,,,,,,,,,,,,,,,,
Bonk_Punch,['ボンク・パンチ'],['Bonku Panchi'],['Bonk Punch'],"['Chapter 1', 'Episode 4']",['Red Hair Pirates'],"['Pirate', 'Senior Officer', 'Musician']",,,['Alive'],,,,,,['Kotaro Nakamura'],,,['Josh Martin'],,,,,,,,,,,,,,,,,,,
Monster,['モンスター'],['Monsutā'],['Monster'],"['Chapter 1', 'Episode 489']",['Red Hair Pirates'],"['Pirate', 'Senior Officer', 'Musician']",['East Blue'],,['Alive'],,['October 31st'],,,,['Bin Shimada'],,,['J. Paul Slavens'],,,,,,,,,,,,,,,,,,,
Gol_D._Roger,['ゴール・D・ロジャー'],['Gōru Dī Rojā'],['Gol D. Roger'],"['Chapter 1', 'Episode 1']",['Roger Pirates'],['Pirate Captain'],['East Blue (Loguetown)'],['Pirate King'],['Deceased'],,['December 31st'],"['274 cm (9\'0"")']",['S'],['5564800000'],"['Chikao Ohtsuka (Episode 1-Episode 590)', 'Masane Tsukayama (Episode 849+)', 'Takeshi Kusao (young)']",['Brian Zimmerman'],['Frederick B. Owens'],"['Sean Hennigan', 'Marcus D. Stimac (young)']",['Michael Dorman'],,['Gold Roger'],['53'],,,,,,,,,,,,,,,
Monkey_D._Luffy,['モンキー・D・ルフィ'],['Monkī Dī Rufi'],['Monkey D. Luffy'],"['Chapter 1', 'Episode 1']","['Straw Hat Pirates;', 'Straw Hat Grand Fleet;', 'Four Emperors;', 'Dadan Family (former);', 'Baratie (temporary, former);', 'Impel Down (former);', 'Ninja-Pirate-Mink-Samurai Alliance (disbanded)']","['Pirate Captain', 'Emperor', 'Senior Captain of the Grand Fleet', 'Prisoner (former)', 'Chore Boy (temporary, former)', 'Bandit (former)']",['East Blue (Goa Kingdom)'],['Straw Hat Luffy'],['Alive'],"['7 (debut);', '17 (pre-timeskip);', '19 (after timeskip)']","[""May 5th (Children's Day)""]","[""91 cm (3') (debut, child)"", '172 cm (5\'8"") (pre-timeskip)', '174 cm (5\'9"") (after timeskip)']",['F'],"['3000000000', '1500000000', '500000000', '400000000', '300000000', '100000000', '30000000']","['Mayumi Tanaka', 'Urara Takano (OVA)']",['Chuck Powers'],['Bella Hudson'],['Colleen Clinkenbeard'],"['Iñaki Godoy', 'Colton Osorio (young)']","['Foosha Village (former)', 'Mt. Colubo (former)', 'Rusukaina (former)']","['Lucy', 'Luffy-tarou', 'Luffy-no-Umi', 'Joy Boy']",,"['Gomu Gomu no Mi', '(Hito Hito no Mi, Model: Nika)']","['Gum-Gum Fruit', '(Human-Human Fruit, Model: Nika)']","['Rubber', 'Human', 'Nika']","['Paramecia', '(Mythical Zoan)']",,,,,,,,,,,
