rank,name,points,our_character_id,is_variant,wiki_title
1,Monkey D. Luffy,1637921,Monkey_D._Luffy,False,Monkey D. Luffy
2,Roronoa Zoro,1445034,Roronoa_Zoro,False,Roronoa Zoro
3,Nami,1085141,Nami,False,Nami
4,Sanji,970286,Sanji,False,Sanji
5,Trafalgar Law,646686,Trafalgar_D._Water_Law,False,Trafalgar D. Water Law
6,Nico Robin,599835,Nico_Robin,False,Nico Robin
7,Boa Hancock,392951,Boa_Hancock,False,Boa Hancock
8,Carrot,388565,Carrot,False,Carrot
9,Portgas D. Ace,355503,Portgas_D._Ace,False,Portgas D. Ace
10,Sabo,318869,Sabo,False,Sabo
11,Yamato,259738,Yamato,False,Yamato
12,Shanks,171610,Shanks,False,Shanks
13,Donquixote Rosinante,157167,Donquixote_Rosinante,False,Donquixote Rosinante
14,Charlotte Katakuri,152070,Charlotte_Katakuri,False,Charlotte Katakuri
15,Usopp,131090,Usopp,False,Usopp
16,Tony Tony Chopper,116364,Tony_Tony_Chopper,False,Tony Tony Chopper
17,Crocodile,109837,Crocodile,False,Crocodile
18,Jinbe,102354,Jinbe,False,Jinbe
19,Marco,98431,Marco,False,Polo Marco
20,Donquixote Doflamingo,96402,Donquixote_Doflamingo,False,Donquixote Doflamingo
21,Nefertari Vivi,90645,Nefertari_Vivi,False,Nefertari Vivi
22,Bentham (Mr. 2 Bon Kurei),88082,Bentham,False,Bentham (Mr. 2 Bon Kurei)
23,Eustass Kid,86454,Eustass_Kid,False,Eustass Kid
24,Kouzuki Oden,82773,Kouzuki_Oden,False,Kouzuki Oden
25,Perona,80255,Perona,False,Perona
26,Brook,75741,Brook,False,Brook
27,Smoker,66962,Smoker,False,Smoker
28,Franky,66398,Franky,False,Franky
29,Gol D. Roger,66270,Gol_D._Roger,False,Gol D. Roger
30,Dracule Mihawk,65869,Dracule_Mihawk,False,Dracule Mihawk
31,Edward Newgate,59957,Edward_Newgate,False,Edward Newgate
