rank,name,points,our_character_id,is_variant,site_face_id,image_url,image_path
1,MONKEY D. LUFFY,2378519,Monkey_D._Luffy,False,,https://onepiecewt100-2026.com/assets/final-rankings/world-rank-1.png,polls/wt100_2026/0001_MONKEY_D_LUFFY.png
2,RORONOA ZORO,2148793,Roronoa_Zoro,False,,https://onepiecewt100-2026.com/assets/final-rankings/world-rank-2.png,polls/wt100_2026/0002_RORONOA_ZORO.png
3,SANJI,1399204,Sanji,False,,https://onepiecewt100-2026.com/assets/final-rankings/world-rank-3.png,polls/wt100_2026/0003_SANJI.png
4,NAMI,1007955,Nami,False,0003,https://onepiecewt100-2026.com/assets/faces/0003.png,polls/wt100_2026/0004_NAMI.png
5,TRAFALGAR LAW (TRAFALGAR D. WATER LAW),732301,Trafalgar_D._Water_Law,False,0512,https://onepiecewt100-2026.com/assets/faces/0512.png,polls/wt100_2026/0005_TRAFALGAR_LAW_TRAFALGAR_D_WATER_LAW.png
6,NICO ROBIN,322461,Nico_Robin,False,0007,https://onepiecewt100-2026.com/assets/faces/0007.png,polls/wt100_2026/0006_NICO_ROBIN.png
7,PORTGAS D. ACE,301112,Portgas_D._Ace,False,0175,https://onepiecewt100-2026.com/assets/faces/0175.png,polls/wt100_2026/0007_PORTGAS_D_ACE.png
8,SHANKS,204827,Shanks,False,0017,https://onepiecewt100-2026.com/assets/faces/0017.png,polls/wt100_2026/0008_SHANKS.png
9,DRACULE.MIHAWK,202744,Dracule_Mihawk,False,0085,https://onepiecewt100-2026.com/assets/faces/0085.png,polls/wt100_2026/0009_DRACULE_MIHAWK.png
10,CROCODILE (Mr. 0),201971,Crocodile,False,0172,https://onepiecewt100-2026.com/assets/faces/0172.png,polls/wt100_2026/0010_CROCODILE_Mr_0.png
11,DONQUIXOTE ROSINANTE (CORAZŌN),,Donquixote_Rosinante,False,0892,https://onepiecewt100-2026.com/assets/faces-106x106/0892.png,polls/wt100_2026/0011_DONQUIXOTE_ROSINANTE_CORAZ_N.png
12,BOA.HANCOCK,,Boa_Hancock,False,0551,https://onepiecewt100-2026.com/assets/faces-106x106/0551.png,polls/wt100_2026/0012_BOA_HANCOCK.png
13,TONY TONY.CHOPPER,,Tony_Tony_Chopper,False,0006,https://onepiecewt100-2026.com/assets/faces-106x106/0006.png,polls/wt100_2026/0013_TONY_TONY_CHOPPER.png
14,SABO,,Sabo,False,0654,https://onepiecewt100-2026.com/assets/faces-106x106/0654.png,polls/wt100_2026/0014_SABO.png
15,UTA,,Uta,False,1556,https://onepiecewt100-2026.com/assets/faces-106x106/1556.png,polls/wt100_2026/0015_UTA.png
16,CARROT,,Carrot,False,0914,https://onepiecewt100-2026.com/assets/faces-106x106/0914.png,polls/wt100_2026/0016_CARROT.png
