name,bio
A O,A O is an infamous New World pirate and captain of the A O Pirates. He and his crew were subordinates to Whitebeard.
Abdullah,"Abdullah is a criminal and a former bounty hunter who joined as a gladiator at the Corrida Colosseum to compete for the Mera Mera no Mi, along with his partner Jeet. He is an ally of Luffy during the Dressrosa Arc."
Absalom,Absalom of the Graveyard was the commander of the Soldier Zombies and General Zombies of Thriller Bark prior to its collapse. He was one of the Mysterious Four of the Thriller Bark Pirates and one of the major antagonists of the Thriller Bark Saga.
Acilia,Acilia is a gladiator at the Corrida Colosseum who participated in a tournament for the Mera Mera no Mi.
Adele,Adele is a spotted knifejaw mermaid and an employee at the Mermaid Café.
Adio Suerte,Adio Suerte is the last publicly known descendant of the ancient tribe who lived on the fallen sky island Waford. He is the main antagonist of One Piece Odyssey.
Aegir,Aegir is a student at the Walrus School on Elbaph.
Ageha Woman,Ageha Woman is a Gifter in the Beasts Pirates.
Aggie 68,Aggie 68 is a member of the Spade Pirates.
Agotogi,"Agotogi was the leader of the Agotogi Sand Merchants, a gang of thugs who tried to kidnap Vivi about 11 years before the princess's return to Arabasta."
Agsilly,Agsilly is an infamous New World pirate captain who allied with Whitebeard.
Agyo,Agyo is a fighting lion and a gladiator competing at the Corrida Colosseum for the Mera Mera no Mi.
Ahho Desunen IX,Ahho Desunen IX is a noble from the Goa Kingdom and the father of Ahho Zurako.
Ahho Zurako,Ahho Zurako is a noble from the Goa Kingdom and the daughter of Ahho Desunen IX.
Ahiru,Ahiru is the deputy commander of the East Army in the Revolutionary Army and the assistant of Belo Betty.
Ain,Ain is the second-in-command and vice-admiral of the Neo Marines and a former member of the Marines. She is a major antagonist of One Piece Film: Z.
Aisa,Aisa is a young Shandia girl who used to sneak onto Upper Yard frequently to collect Vearth. She is Isa's daughter.
Akehende,Akehende is a Marine Rear Admiral.
Akudai Kanzaburo,Akudai Kanzaburo is an arms dealer who lives in the Flower Capital of Wano Country.
Akumai,Akumai was a Billions agent who followed Mr. 2 Bon Kurei everywhere before he was captured by Hina when Mr.
Aladine,"Aladine is a goatsbeard brotula merman. He was originally a Ryugu Kingdom soldier who was then enslaved, but then became a pirate as the doctor and later first mate of the Sun Pirates."
Albion,"""Gashed"" Albion is one of the rookie pirates who joined the Fake Straw Hat Crew. He has a bounty of 92,000,000."
Alice,Alice is the current secretary of the Galley-La Company in Water 7.
Ally,"Ally is a little girl who was being held captive in the Biscuits Room, on Punk Hazard. She was freed with the rest of the children by the Straw Hat Pirates."
Alpacaman,Alpacaman is a Gifter in the Beasts Pirates who serves as a guard in the Prisoner Mines of the Udon Region of Wano Country.
Alpha,Alpha is a member of the CP8 branch of Cipher Pol. She is the daughter of Laskey and the younger sister of CP0 agent Kalifa.
Alvida,"""Iron Mace"" Alvida is the former captain of the Alvida Pirates, and the first enemy pirate Monkey D. Luffy encountered in his own pirate career. After her defeat by Luffy, she met and allied with Buggy to form the Buggy and Alvida Alliance, and for a time became the acting captain during Buggy's entanglements in Impel Down and the Summit War of Marineford."
Amadob,Amadob is an infamous New World pirate captain who allied with Whitebeard.
Amazon,"Amazon is an elderly resident of Skypiea who was previously the inspector of the Heaven's Gate. She let people into Skypiea even if they could not pay her extol toll, but purposely failed to tell those who did not pay about the consequences for entering the city."
An Zengaiina,An Zengaiina is a prisoner on Level 2 of Impel Down.
Anba,Anba is a man living in the Wano Country and a supporter of the Kouzuki Family.
Andre,"Andre is a New World pirate captain who was once a member of the Whitebeard Pirates, before forming his own crew subordinate to Whitebeard. He is the twin brother of the Marine officer Candre."
Ange,"Ange is a giant from Elbaph. She works as a language teacher at the Walrus School, as an assistant for Jaguar D. Saul and as a librarian of the Owl Library."
Anjo,Anjo is a pirate admirer who witnessed Gol D. Roger's execution.
Ankoro,"Ankoro is a gigantic anglerfish formerly under the command of captain Vander Decken IX, residing in the Underworld of the Sea, seven thousand meters underneath the ocean surface. Wadatsumi seems to regard Ankoro as a pet, as apparently Ankoro was told ""not to eat ships "" before."
Antonio,"Antonio is the owner of "" Antonio's Graman "" in Sabaody Archipelago."
Aphelandra,"Aphelandra is a member of the tribe of Kuja living on the island of Amazon Lily. During the timeskip, she became a member of the Kuja Pirates."
Aramaki,"Aramaki, better known by his alias Ryokugyu, is an Admiral in the Marines. A former policeman from the Taya Kingdom, he was part of the World Military Draft that filled the two Admiral vacancies (along with Fujitora ), caused by Kuzan's resignation and Sakazuki's promotion."
Aremo Ganmi,"Aremo Ganmi is a spectator at the Corrida Colosseum. She lives in Primula, a town in the west of Dressrosa."
Arlong,"Arlong the Saw is a sawshark fish-man. He was the captain of the all fish-man crew (excluding Nami ), the Arlong Pirates, a former member of the Sun Pirates, and the older half-brother of Madam Shyarly."
Arthur,Arthur is an infamous New World pirate captain who allied with Whitebeard.
Aruyutayan V,Aruyutayan V was the king of the Lvneel Kingdom roughly 400 years ago when Mont Blanc Noland discovered Shandora.
Asahija,Asahija is a Marine Chief Petty Officer whose shadow was once stolen by Gecko Moria.
Asashichi,Asashichi is a resident of the Flower Capital who ran a soba shop with his wife.
Ashura Doji,"Ashura Doji was a bandit, samurai from Wano Country and a retainer of the Kouzuki Family, serving as one of Kouzuki Oden's Nine Red Scabbards. After Oden's death, he returned to being a criminal under the name Shutenmaru, assuming leadership of the Mt."
Asla,"Asla, known as the ""Horse of Fortune"", was the royal steed of Elbaph. It passed away 63 years ago, believed to have been slain by Loki, shortly after the prince's birth."
Aswa,Aswa is Koza's mother and Toto's wife.
Atagoyama,Atagoyama is a sumo wrestler in Wano Country's Bakura Town.
Atlas,"Atlas, also designated as Punk-05 ( PUNK-05, Panku-Faibu? ), is one of the six satellites of Dr."
Atmos,"""Water Buffalo"" Atmos is the former 13th division commander of the Whitebeard Pirates."
Attach,"Attach, commonly nicknamed Attachan, is a photojournalist employed by ""Big News"" Morgans for the World Economy News Paper. Having previously headed the Marines' Photography Department, he supplied images of many prominent outlaws—including most of the Straw Hat Pirates —for the Marines' wanted posters, but was eventually dismissed for his frequent blunders."
Avalo Pizarro,"Avalo Pizarro, also known as the ""Corrupt King"", is one of the Ten Titanic Captains of the Blackbeard Pirates, serving as the captain of the fourth ship of the fleet. Prior to his life of crime, he was once a king of a North Blue kingdom that eventually overthrew him for his despotic ways."
Azuki,Azuki is an old woman who lives in Ebisu Town.
Babanuki,"Babanuki is a Shinuchi of the Beasts Pirates who serves as the warden of the Prisoner Mine in Udon, a region of Wano Country. After the prison takeover, Babanuki was tamed by Tama."
Babe,"""Catcher-Killing"" Babe, better known by his alias Mr. 4, is a former officer agent of the Baroque Works and partner of Miss Merry Christmas."
Baburu,Baburu is the grandmother of the late Gaburu. She is a major supporting character in the Caribou's Kehihihihi in the New World cover story.
Baby 5,"Baby 5 is a pirate and the wife of Sai, the Happo Navy's 13th leader. She is a former servant and assassin of the Donquixote Pirates, serving as an officer in the Pica Army."
Baccarat,Baccarat is a concierge on Gran Tesoro and an executive member of Gild Tesoro's crew. She appears in One Piece Film: Gold.
Bacura,"Bacura is a black panther owned by the Kuja Pirates under Boa Hancock. She is said to be the executioner of the Kuja tribe, and has been serving the tribe for generations."
Baggaley,Baggaley is an infamous New World pirate captain who allied with Whitebeard.
Ban Dedessinée,Ban Dedessinée is the queen of the Frauce Kingdom in the East Blue and one of fifty monarchs who took part in the Levely.
Banchi,"Banchi is a giant ""all-terrain"" turtle used by Baroque Works —particularly Miss All-Sunday —for transportation. He is classified as a Type A creature, ""Big Friendly""."
Banchina,Banchina was Usopp's mother and Yasopp's wife. She died of a sickness in Syrup Village when Usopp was still young.
Bankuro,Bankuro was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.
Banshee,Banshee is a mermaid and was the only female member of the Spade Pirates.
Banzaburo,Banzaburo was a samurai of Wano Country who worked as a servant to the Kouzuki Family until their fall 20 years ago.
Bao Huang,"Bao Huang is a Shinuchi in the Beasts Pirates, being part of the crew's surveillance division, the "" Marys "". She appears to have the duty of keeping and presenting daily schedules for the crew and their captain Kaidou."
Barbel,Barbel is a catfish fish-man and former member of the Rocks Pirates.
