chapter,character,note
7,Rika,
9,Mohji,
10,Buggy,
17,Roronoa_Zoro,
18,Monkey_D._Luffy,K.O.
25,Bonk_Punch,flashback
29,Roronoa_Zoro,
37,Buchi,flashback
38,Tamanegi,
46,Nami,cover
49,Zeff,shadowed
53,Dracule_Mihawk,image
58,Zeff,
59,Shanks,flashback
61,Nami,cover
64,Zeff,
68,Carne,cover
73,Cabaji,cover
74,Alvida,cover
78,Nami,"cover, portrait"
79,Hatchan,
80,Sanji,Marine Rank
81,Genzo,cover
83,Koby,cover
84,Johnny,
85,Genzo,cover
85,Rika,cover
87,Koby,cover
89,Nami,
90,Sanji,cover
90,Arlong,cover
92,Monkey_D._Luffy,
94,Roronoa_Zoro,K.O.
94,Genzo,
95,Genzo,flashback
98,Usopp,
99,Smoker,
99,Koby,cover
106,Helmeppo,cover
107,Sanji,
108,Mr._9,
119,Monkey_D._Luffy,cover
120,Karoo,
124,Monkey_D._Luffy,cover
125,Karoo,
126,Nami,cover
126,Karoo,shadowed
127,Nami,cover
127,Nefertari_Vivi,Marine Rank
127,Nico_Robin,
129,Raideen,flashback
129,Karoo,flashback
132,Sanji,flashback
136,Usopp,
139,Jango,cover
149,Sanji,cover
149,Wapol,cover
150,Fullbody,cover
151,Kureha,flashback
154,Nami,
154,Nefertari_Vivi,
154,Bentham,flashback
155,Miss_Mother's_Day,mentioned
155,Miss_Thursday,mentioned
155,Mr._12,mentioned
156,Tony_Tony_Chopper,face only
159,Tony_Tony_Chopper,silhouette
164,Koza,flashback
164,Natto,flashback
165,Daz_Bonez,
167,Sanji,cover
167,Kappa,image only
167,Karoo,
168,Usopp,cover
169,Pell,
172,Roronoa_Zoro,cover
172,Banchi,
176,Nico_Robin,
180,Nefertari_Vivi,flashback
183,Bentham,
189,Nefertari_Vivi,
196,Usopp,cover
197,Chaka,flashback
204,Nefertari_Vivi,flashback
206,Nico_Robin,
211,Chaka,K.O.
211,Koza,K.O.
211,Erik,K.O.
212,Monkey_D._Luffy,K.O.
213,Nefertari_Vivi,
215,Octopus_Mash,cover
215,Igaram,
217,Matsuge,
219,Octopako,cover
220,Roronoa_Zoro,
220,Usopp,
223,Tony_Tony_Chopper,
224,Lily,cover
226,Utan_Divers,
228,Mont_Blanc_Cricket,cover
231,Roronoa_Zoro,
233,Muret,
240,Roronoa_Zoro,cover
242,Sanji,cover
243,Monkey_D._Luffy,
248,Conis,silhouette
249,Fuza,
251,Roronoa_Zoro,
252,Nico_Robin,K.O.
252,Hakowan,cover
253,Holy,cover
260,Monkey_D._Luffy,cover
260,Nami,K.O.
260,Pierre,
261,Nami,K.O.
269,Raki,
272,Holy,
272,Wyper,
273,Tony_Tony_Chopper,K.O.
274,Pierre,flashback
276,Portgas_D._Ace,cover
276,Shandia_Chief,flashback
277,Gan_Fall,K.O.
278,Tony_Tony_Chopper,K.O.
278,McKinley,cover
284,Usopp,cover
288,Mont_Blanc_Noland,
293,Usopp,K.O.
293,Wyper,flashback
296,Aisa,flashback
297,Tony_Tony_Chopper,K.O.
298,McKinley,cover
299,Enel,K.O.
299,McKinley,cover
301,Kamakiri,asleep
301,Braham,asleep
303,Utan_Divers,
303,Hewitt,shadowed
306,Tony_Tony_Chopper,
308,Chuchun,
309,Roronoa_Zoro,
311,Tony_Tony_Chopper,
312,Nami,
315,Gedatsu,cover
316,Nami,
317,Itomimizu,
319,Nami,
319,Tony_Tony_Chopper,silhouette
323,Kalifa,
324,Zambai,shadowed
327,Tyrannosaurus,
331,Roronoa_Zoro,image
333,Tony_Tony_Chopper,cover
337,Rob_Lucci,
337,Dirt_Boss,cover
338,Sanji,
339,Gonbe,cover
340,Nami,
342,Zambai,
346,Roronoa_Zoro,
351,Franky,
353,Kokoro,flashback
354,Iceburg,
354,Mozu_and_Kiwi,
355,Iceburg,
358,Usopp,
359,Tyrannosaurus,
361,Zala,cover; newspaper
363,Monkey_D._Luffy,
365,Kalifa,K.O.
365,Kiev,cover
365,Gem,cover
366,Hattori,flashback
366,Peepley_Lulu,
366,Gonbe,cover
367,Wanze,
368,Roronoa_Zoro,Marine Rank
368,Sanji,Marine Rank
368,Corgi,
370,Nero,
374,Ottoland,cover
375,Schollzo,
376,Rob_Lucci,
377,Kumadori,cover
378,Paulie,
378,Chimney,
381,Gem,cover
384,Monkey_D._Luffy,
384,Gomorrah,cover
385,Kaku,
386,Tamagon,K.O.
389,Jabra,cover
390,Nami,
